(-25.008556, -40.385681, 52.360127)
(-25.012809, -40.389440, 52.355210)
(-25.017061, -40.393198, 52.350293)
(-25.021314, -40.396955, 52.345375)
(-25.025566, -40.400712, 52.340456)
(-25.029818, -40.404468, 52.335537)
(-25.034070, -40.408224, 52.330617)
(-25.038321, -40.411980, 52.325697)
(-25.042572, -40.415735, 52.320776)
(-25.046823, -40.419490, 52.315855)
(-25.051073, -40.423244, 52.310932)
(-25.055323, -40.426998, 52.306010)
(-25.059573, -40.430751, 52.301087)
(-25.063823, -40.434504, 52.296163)
(-25.068072, -40.438256, 52.291238)
(-25.072322, -40.442008, 52.286313)
(-25.076570, -40.445760, 52.281388)
(-25.080819, -40.449511, 52.276461)
(-25.085067, -40.453261, 52.271535)
(-25.089315, -40.457011, 52.266607)
(-25.093563, -40.460761, 52.261679)
(-25.097810, -40.464510, 52.256751)
(-25.102057, -40.468259, 52.251822)
(-25.106304, -40.472007, 52.246892)
(-25.110551, -40.475755, 52.241962)
(-25.114797, -40.479502, 52.237031)
(-25.119043, -40.483249, 52.232099)
(-25.123288, -40.486996, 52.227167)
(-25.127534, -40.490742, 52.222234)
(-25.131779, -40.494487, 52.217301)
(-25.136024, -40.498233, 52.212367)
(-25.140268, -40.501977, 52.207433)
(-25.144513, -40.505721, 52.202498)
(-25.148757, -40.509465, 52.197562)
(-25.153000, -40.513208, 52.192626)
(-25.157244, -40.516951, 52.187689)
(-25.161487, -40.520694, 52.182752)
(-25.165730, -40.524435, 52.177814)
(-25.169972, -40.528177, 52.172875)
(-25.174215, -40.531918, 52.167936)
(-25.178457, -40.535658, 52.162996)
(-25.182698, -40.539399, 52.158056)
(-25.186940, -40.543138, 52.153115)
(-25.191181, -40.546877, 52.148173)
(-25.195422, -40.550616, 52.143231)
(-25.199663, -40.554354, 52.138288)
(-25.203903, -40.558092, 52.133345)
(-25.208143, -40.561830, 52.128401)
(-25.212383, -40.565566, 52.123457)
(-25.216622, -40.569303, 52.118512)
(-25.220861, -40.573039, 52.113566)
(-25.225100, -40.576774, 52.108620)
(-25.229339, -40.580509, 52.103673)
(-25.233577, -40.584244, 52.098726)
(-25.237815, -40.587978, 52.093778)
(-25.242053, -40.591712, 52.088829)
(-25.246290, -40.595445, 52.083880)
(-25.250528, -40.599178, 52.078930)
(-25.254765, -40.602910, 52.073980)
(-25.259001, -40.606642, 52.069029)
(-25.263237, -40.610373, 52.064077)
(-25.267474, -40.614104, 52.059125)
(-25.271709, -40.617835, 52.054173)
(-25.275945, -40.621565, 52.049219)
(-25.280180, -40.625295, 52.044265)
(-25.284415, -40.629024, 52.039311)
(-25.288650, -40.632752, 52.034356)
(-25.292884, -40.636481, 52.029400)
(-25.297118, -40.640208, 52.024444)
(-25.301352, -40.643936, 52.019487)
(-25.305585, -40.647662, 52.014530)
(-25.309818, -40.651389, 52.009572)
(-25.314051, -40.655115, 52.004613)
(-25.318284, -40.658840, 51.999654)
(-25.322516, -40.662565, 51.994694)
(-25.326748, -40.666290, 51.989734)
(-25.330980, -40.670014, 51.984773)
(-25.335212, -40.673737, 51.979812)
(-25.339443, -40.677461, 51.974850)
(-25.343674, -40.681183, 51.969887)
(-25.347904, -40.684906, 51.964924)
(-25.352135, -40.688627, 51.959960)
(-25.356365, -40.692349, 51.954995)
(-25.360595, -40.696070, 51.950030)
(-25.364824, -40.699790, 51.945065)
(-25.369053, -40.703510, 51.940099)
(-25.373282, -40.707230, 51.935132)
(-25.377511, -40.710949, 51.930164)
(-25.381739, -40.714667, 51.925196)
(-25.385967, -40.718385, 51.920228)
(-25.390195, -40.722103, 51.915259)
(-25.394423, -40.725820, 51.910289)
(-25.398650, -40.729537, 51.905319)
(-25.402877, -40.733253, 51.900348)
(-25.407104, -40.736969, 51.895376)
(-25.411330, -40.740684, 51.890404)
(-25.415556, -40.744399, 51.885432)
(-25.419782, -40.748114, 51.880459)
(-25.424007, -40.751828, 51.875485)
(-25.428232, -40.755541, 51.870510)
(-25.432457, -40.759255, 51.865535)
(-25.436682, -40.762967, 51.860560)
(-25.440906, -40.766679, 51.855584)
(-25.445130, -40.770391, 51.850607)
(-25.449354, -40.774102, 51.845630)
(-25.453578, -40.777813, 51.840652)
(-25.457801, -40.781523, 51.835673)
(-25.462024, -40.785233, 51.830694)
(-25.466247, -40.788943, 51.825714)
(-25.470469, -40.792652, 51.820734)
(-25.474691, -40.796360, 51.815753)
(-25.478913, -40.800068, 51.810772)
(-25.483134, -40.803776, 51.805790)
(-25.487355, -40.807483, 51.800807)
(-25.491576, -40.811190, 51.795824)
(-25.495797, -40.814896, 51.790841)
(-25.500017, -40.818602, 51.785856)
(-25.504237, -40.822307, 51.780871)
(-25.508457, -40.826012, 51.775886)
(-25.512677, -40.829716, 51.770900)
(-25.516896, -40.833420, 51.765913)
(-25.521115, -40.837123, 51.760926)
(-25.525333, -40.840826, 51.755938)
(-25.529552, -40.844529, 51.750949)
(-25.533770, -40.848231, 51.745960)
(-25.537987, -40.851933, 51.740971)
(-25.542205, -40.855634, 51.735981)
(-25.546422, -40.859334, 51.730990)
(-25.550639, -40.863035, 51.725999)
(-25.554856, -40.866734, 51.721007)
(-25.559072, -40.870434, 51.716014)
(-25.563288, -40.874133, 51.711021)
(-25.567504, -40.877831, 51.706027)
(-25.571719, -40.881529, 51.701033)
(-25.575934, -40.885226, 51.696038)
(-25.580149, -40.888923, 51.691043)
(-25.584364, -40.892620, 51.686047)
(-25.588578, -40.896316, 51.681050)
(-25.592792, -40.900012, 51.676053)
(-25.597006, -40.903707, 51.671055)
(-25.601219, -40.907402, 51.666057)
(-25.605432, -40.911096, 51.661058)
(-25.609645, -40.914790, 51.656058)
(-25.613858, -40.918483, 51.651058)
(-25.618070, -40.922176, 51.646058)
(-25.622282, -40.925868, 51.641056)
(-25.626494, -40.929560, 51.636055)
(-25.630705, -40.933252, 51.631052)
(-25.634916, -40.936943, 51.626049)
(-25.639127, -40.940633, 51.621046)
(-25.643338, -40.944323, 51.616041)
(-25.647548, -40.948013, 51.611037)
(-25.651758, -40.951702, 51.606031)
(-25.655968, -40.955391, 51.601025)
(-25.660177, -40.959079, 51.596019)
(-25.664386, -40.962767, 51.591012)
(-25.668595, -40.966454, 51.586004)
(-25.672804, -40.970141, 51.580996)
(-25.677012, -40.973828, 51.575987)
(-25.681220, -40.977514, 51.570978)
(-25.685428, -40.981199, 51.565968)
(-25.689635, -40.984884, 51.560957)
(-25.693842, -40.988569, 51.555946)
(-25.698049, -40.992253, 51.550934)
(-25.702255, -40.995936, 51.545922)
(-25.706462, -40.999620, 51.540909)
(-25.710668, -41.003302, 51.535895)
(-25.714873, -41.006985, 51.530881)
(-25.719079, -41.010666, 51.525867)
(-25.723284, -41.014348, 51.520851)
(-25.727488, -41.018029, 51.515836)
(-25.731693, -41.021709, 51.510819)
(-25.735897, -41.025389, 51.505802)
(-25.740101, -41.029068, 51.500785)
(-25.744305, -41.032747, 51.495767)
(-25.748508, -41.036426, 51.490748)
(-25.752711, -41.040104, 51.485729)
(-25.756914, -41.043782, 51.480709)
(-25.761116, -41.047459, 51.475688)
(-25.765318, -41.051136, 51.470667)
(-25.769520, -41.054812, 51.465646)
(-25.773722, -41.058488, 51.460623)
(-25.777923, -41.062163, 51.455601)
(-25.782124, -41.065838, 51.450577)
(-25.786325, -41.069512, 51.445553)
(-25.790525, -41.073186, 51.440529)
(-25.794725, -41.076860, 51.435504)
(-25.798925, -41.080533, 51.430478)
(-25.803125, -41.084205, 51.425452)
(-25.807324, -41.087878, 51.420425)
(-25.811523, -41.091549, 51.415397)
(-25.815722, -41.095220, 51.410369)
(-25.819920, -41.098891, 51.405341)
(-25.824118, -41.102561, 51.400312)
(-25.828316, -41.106231, 51.395282)
(-25.832514, -41.109900, 51.390252)
(-25.836711, -41.113569, 51.385221)
(-25.840908, -41.117238, 51.380189)
(-25.845104, -41.120906, 51.375157)
(-25.849301, -41.124573, 51.370124)
(-25.853497, -41.128240, 51.365091)
(-25.857693, -41.131907, 51.360057)
(-25.861888, -41.135573, 51.355023)
(-25.866083, -41.139238, 51.349988)
(-25.870278, -41.142903, 51.344952)
(-25.874473, -41.146568, 51.339916)
(-25.878667, -41.150232, 51.334880)
(-25.882861, -41.153896, 51.329842)
(-25.887055, -41.157559, 51.324804)
(-25.891248, -41.161222, 51.319766)
(-25.895442, -41.164885, 51.314727)
(-25.899634, -41.168547, 51.309687)
(-25.903827, -41.172208, 51.304647)
(-25.908019, -41.175869, 51.299606)
(-25.912211, -41.179530, 51.294565)
(-25.916403, -41.183190, 51.289523)
(-25.920594, -41.186849, 51.284481)
(-25.924785, -41.190508, 51.279438)
(-25.928976, -41.194167, 51.274394)
(-25.933167, -41.197825, 51.269350)
(-25.937357, -41.201483, 51.264305)
(-25.941547, -41.205140, 51.259260)
(-25.945737, -41.208797, 51.254214)
(-25.949926, -41.212453, 51.249167)
(-25.954115, -41.216109, 51.244120)
(-25.958304, -41.219765, 51.239072)
(-25.962492, -41.223420, 51.234024)
(-25.966681, -41.227074, 51.228975)
(-25.970868, -41.230728, 51.223926)
(-25.975056, -41.234382, 51.218876)
(-25.979243, -41.238035, 51.213825)
(-25.983430, -41.241688, 51.208774)
(-25.987617, -41.245340, 51.203722)
(-25.991804, -41.248991, 51.198670)
(-25.995990, -41.252643, 51.193617)
(-26.000176, -41.256293, 51.188563)
(-26.004361, -41.259944, 51.183509)
(-26.008546, -41.263594, 51.178455)
(-26.012731, -41.267243, 51.173399)
(-26.016916, -41.270892, 51.168344)
(-26.021101, -41.274540, 51.163287)
(-26.025285, -41.278188, 51.158230)
(-26.029468, -41.281836, 51.153173)
(-26.033652, -41.285483, 51.148115)
(-26.037835, -41.289130, 51.143056)
(-26.042018, -41.292776, 51.137997)
(-26.046201, -41.296421, 51.132937)
(-26.050383, -41.300067, 51.127876)
(-26.054565, -41.303711, 51.122815)
(-26.058747, -41.307356, 51.117754)
(-26.062928, -41.310999, 51.112692)
(-26.067110, -41.314643, 51.107629)
(-26.071290, -41.318286, 51.102566)
(-26.075471, -41.321928, 51.097502)
(-26.079651, -41.325570, 51.092437)
(-26.083831, -41.329212, 51.087372)
(-26.088011, -41.332853, 51.082307)
(-26.092190, -41.336493, 51.077241)
(-26.096369, -41.340133, 51.072174)
(-26.100548, -41.343773, 51.067107)
(-26.104727, -41.347412, 51.062039)
(-26.108905, -41.351051, 51.056970)
(-26.113083, -41.354689, 51.051901)
(-26.117261, -41.358327, 51.046831)
(-26.121438, -41.361964, 51.041761)
(-26.125615, -41.365601, 51.036690)
(-26.129792, -41.369237, 51.031619)
(-26.133968, -41.372873, 51.026547)
(-26.138144, -41.376509, 51.021475)
(-26.142320, -41.380144, 51.016401)
(-26.146496, -41.383778, 51.011328)
(-26.150671, -41.387412, 51.006254)
(-26.154846, -41.391046, 51.001179)
