Epoch Azimuth[deg] Elevation[deg] Range[m]
2024-04-08T23:47:50.000Z 18.606999859030147 45.029378069541046 946570.5182702469
2024-04-08T23:47:50.10000000000582Z 18.61306626054633 45.06462761008453 946088.5721731583
2024-04-08T23:47:50.20000000001164Z 18.61914563258429 45.09990964724618 945606.9264678037
2024-04-08T23:47:50.30000000000291Z 18.62523802277029 45.13522420970845 945125.5816305552
2024-04-08T23:47:50.40000000000873Z 18.631343468561067 45.1705713260439 944644.5381030753
2024-04-08T23:47:50.500Z 18.637462017772155 45.2059510239759 944163.7963651418
2024-04-08T23:47:50.60000000000582Z 18.643593714734013 45.241363330377084 943683.3568859813
2024-04-08T23:47:50.70000000001164Z 18.649738604702915 45.27680827492136 943203.2201314135
2024-04-08T23:47:50.80000000000291Z 18.65589673563911 45.31228588328551 942723.3865771132
2024-04-08T23:47:50.90000000000873Z 18.662068146278155 45.3477961852316 942243.8566760808
2024-04-08T23:47:51.000Z 18.668252885252635 45.38333920741263 941764.6309073055
2024-04-08T23:47:51.10000000000582Z 18.674450998371483 45.41891497832382 941285.7097433005
2024-04-08T23:47:51.20000000001164Z 18.680662531229476 45.454523524777464 940807.0936511524
2024-04-08T23:47:51.30000000000291Z 18.686887533480355 45.49016487481733 940328.7831117914
2024-04-08T23:47:51.40000000000873Z 18.693126044455312 45.52583905638609 939850.7785835972
2024-04-08T23:47:51.500Z 18.699378114120407 45.56154609700431 939373.080544804
2024-04-08T23:47:51.60000000000582Z 18.70564378911089 45.59728602424716 938895.6894731154
2024-04-08T23:47:51.70000000001164Z 18.711923116312732 45.63305886548533 938418.6058390401
2024-04-08T23:47:51.80000000000291Z 18.71821614612013 45.668864647381355 937941.8301327192
2024-04-08T23:47:51.90000000000873Z 18.724522919172657 45.70470339874954 937465.3628037837
2024-04-08T23:47:52.000Z 18.73084348644398 45.74057514662353 936989.2043437815
2024-04-08T23:47:52.10000000000582Z 18.737177895681047 45.776479918383195 936513.355225749
2024-04-08T23:47:52.20000000001164Z 18.74352619486275 45.81241774136643 936037.8159314224
2024-04-08T23:47:52.30000000000291Z 18.74988843537933 45.84838864158384 935562.5869441797
2024-04-08T23:47:52.40000000000873Z 18.756264659156322 45.8843926484158 935087.6687270997
2024-04-08T23:47:52.500Z 18.76265491822223 45.92042978855286 934613.0617668832
2024-04-08T23:47:52.60000000000582Z 18.769059261211268 45.95650008826291 934138.7665478929
2024-04-08T23:47:52.70000000001164Z 18.77547773721745 45.99260357468299 933664.7835491502
2024-04-08T23:47:52.80000000000291Z 18.781910399222415 46.02874027528592 933191.1132613355
2024-04-08T23:47:52.90000000000873Z 18.788357289813234 46.06491021774569 932717.7561487707
2024-04-08T23:47:53.000Z 18.79481846230081 46.101113428838204 932244.712701528
2024-04-08T23:47:53.10000000000582Z 18.80129396649535 46.137349934933866 931771.9834071492
2024-04-08T23:47:53.20000000001164Z 18.807783852716028 46.173619763105926 931299.5687460436
2024-04-08T23:47:53.30000000000291Z 18.814288174874363 46.209922939701244 930827.4692141312
2024-04-08T23:47:53.40000000000873Z 18.82080697703687 46.24625949356251 930355.6852790437
2024-04-08T23:47:53.500Z 18.827340313215178 46.282629449412255 929884.2174361079
2024-04-08T23:47:53.60000000000582Z 18.833888234992155 46.31903283553825 929413.0661722467
2024-04-08T23:47:53.70000000001164Z 18.840450793435195 46.355469677269525 928942.2319750552
2024-04-08T23:47:53.80000000000291Z 18.847028043749273 46.39194000103349 928471.7153397585
2024-04-08T23:47:53.90000000000873Z 18.853620031221567 46.428443835609215 928001.5167393498
2024-04-08T23:47:54.000Z 18.860226811207674 46.46498120594452 927531.6366744053
2024-04-08T23:47:54.10000000000582Z 18.866848436147883 46.50155213888219 927062.0756310993
2024-04-08T23:47:54.20000000001164Z 18.873484958767143 46.538156661047985 926592.8341023849
2024-04-08T23:47:54.30000000000291Z 18.880136435356235 46.57479479801996 926123.9125887444
2024-04-08T23:47:54.40000000000873Z 18.886802912004523 46.61146657696885 925655.3115624615
2024-04-08T23:47:54.500Z 18.893484445982903 46.64817202507007 925187.0315293793
2024-04-08T23:47:54.60000000000582Z 18.90018109048124 46.684911166912535 924719.072981019
2024-04-08T23:47:54.70000000001164Z 18.90689289985807 46.721684030437224 924251.4364076126
2024-04-08T23:47:54.80000000000291Z 18.913619931235267 46.75849063927015 923784.1223188387
2024-04-08T23:47:54.90000000000873Z 18.92036223249768 46.79533102235243 923317.1311903947
2024-04-08T23:47:55.000Z 18.927119861649274 46.8322052046052 922850.4635293129
2024-04-08T23:47:55.10000000000582Z 18.933892873450223 46.86911321144688 922384.1198264918
2024-04-08T23:47:55.20000000001164Z 18.940681323424137 46.90605506994571 921918.1005834156
2024-04-08T23:47:55.30000000000291Z 18.947485270310512 46.94303080471404 921452.4063089843
2024-04-08T23:47:55.40000000000873Z 18.954304763023462 46.9800404435167 920987.0374783383
2024-04-08T23:47:55.500Z 18.96113986086275 47.01708401085423 920521.9946076664
2024-04-08T23:47:55.60000000000582Z 18.967990620161498 47.05416153281886 920057.2781911502
2024-04-08T23:47:55.70000000001164Z 18.97485709743193 47.09127303497485 919592.8887276645
2024-04-08T23:47:55.80000000000291Z 18.9817393532709 47.12841854337591 919128.8267333665
2024-04-08T23:47:55.90000000000873Z 18.988637437147453 47.16559808287855 918665.0926925081
2024-04-08T23:47:56.000Z 18.995551410411025 47.202811680211845 918201.6871127911
2024-04-08T23:47:56.10000000000582Z 19.002481330373165 47.24005935962467 917738.610499618
